"train_query","train_result"
jam berapa,jam berape
jam berapa sekarang pak,jam berape itok pak
Jam berapa sudah,jam berape udah
jangan kamu mengambil barang orang lain,usah kau moto nyusok sayang
jangan pernah berpikir untuk menjadi duri di kebahagiaan orang lain,usah suah berpikir kan menjadi durri di kebahagiaan urang bede
jappang,jappang
jauh sama,jauh same
jika tidak cinta bilang saja,mun cinte tolen
jujur sebenernya long gak mau jauh sama usu,jujor sebenernya long daan nak jauh same usu
Jumat libur kan,Jumat ngampar kan
Jumat libur ya,Jumat ngampar iye
Kagik lok,Kagik lok
kalau gosok,mun gosok
kalau tidak boleh gimana,mun an boleh gimane
kalian mau kemana,kittak
Kalimantan natuna,Kalimantan natuna
kalo gosok,kalo gosok
kami kalian saya,kamek kitak saye
kami saya ayah ibu kakak adek paman,kame' aku ayah ummak kakak adek paman
kamu asli Pontianak,kau asli Pontianak
kamu bilang apa sih,kau padahkan ape sih
kamu cape,kau cape
kamu engga pergi,kau engga paggi
kamu itu,kau inun
kamu itu cantik loh,kau inun cerammut loh
kamu itu cantik loh tapi sayang,kau inun cerammut loh tapi sayang
kamu itu cantik loh tapi sayanh,kau inun cerammut loh tapi sayanh
Kamu itu sebenar nya cantik lohh,kau inun sebenar eng cerammut lohh
kamu kangen ya,kau salok iye
kamu kerja ikut pak hasan nal,kau kerajje ikut pak hasan nal
kamu kerja ikut pak hasan nal kita itung lembur malam ni tak usah pulang ada minuman 1 kes,kau kerajje ikut pak hasan nal kitte itung lembur malam ni tak usah balik ade minuman 1 kes
kamu kerja ikut pak hasan nal kita itung lembur malam ni tak usah pulang tidak usah makan dulu nanti sakit perut kamu,kau kerajje ikut pak hasan nal kitte itung lembur malam ni tak usah balik makan dolo'k kalak sakit belaran
kamu masih sekolah Ngak,kau maseh sekolah Ngak
kamu masih sekolah tidak,kau maseh sekolah an
kamu mau kerja nggk,kau nak kerajje nggk
kamu mau kerja nggk ronal,kau nak kerajje nggk ronal
kamu ngga ikut,kau ngga ikut
Kamu pergi ke pasar ke tidak,kau paggi ke pasar an
Kamu pergi ke pasar tidak,kau paggi ke pasar an
kamu punya pacar ya,kau no'k cinte iye
Kamu sini,kau sittok
Kamu sini dulu,kau sittok dolo'k
kamu tau ndakkenapa air dan minyak tidak bisa menyatu,kau tau ndakkenapa ae' dan binyak an bise menyatu
kamu tidak pergi,kau
kamu udah menikah,kau udah menikah
kamu udah tidur,kau udah tidok
kamu yang terbaik untuk ku,kau yang terbaik kan ku
kan hilang lagi,kan ilang age'
kan hilang lg,kan ilang lg
kangen dia,salok die
kap,kap
kapan kapan,bile
kata bapak belum boleh pulang,ji bapak ballom boleh bolik
kata bapak belum boleh pulang,kate bapak balom boleh balik
kata bapak belum boleh pulang karena dia masih sakit,ji bapak ballom boleh bolik karne die maseh sakit
kata bapak belum boleh pulang karena dia masih sakit,jinye bapak ballom boleh balik karne die maseh sakit
kata bapak belum boleh pulang karena dia masih sakit,jinye bapak ballom boleh bolik karne die maseh sakit
kata kak Julina tas Abang banyak ya,kate kak Julina ittas abang bejibun iye
kata orang orang dia baik,kate urang die baik
kau dimane,kau dimane
kau inun,kau inun
kau kawan nya wahyu ya,kau kawan eng wahyu iye
kau mau suka gak samaku,kau nak suke daan samaku
kau suka gak sama ku,kau suke daan same ku
kau suka gak samaku,kau suke daan samaku
kehilangan akal,pitau akal
keli,keli
kemalua wanita,kemalua cewek
kemaluan emanya,kemaluan emanya
kemana aja yang penting pemandangan nya indah,kemane aja' nang penting pemandangan eng indah
kemana hari ini ya,kemane ari ittok iye
kenal kau sama budak itu,kannal kau same biak inun
kenapa ga suka itap,ngape ga suke itap
kenapa ga suka ngopi,ngape ga suke ngopi
kenapa gak suka ngopi,ngape daan suke ngopi
kerja panas,kerajje berau
kerja terus km ngopi belum,kerajje tolen km ngopi balom
kesabaran aku,kesabaran aku
ketika semua udah terlanjur,pas sume'eng udah telanjor
kias,kias
kinni kau sayang,kinni kau sayang
kira tidak ada,kire sian
Klik sekarang dan temukan lowongan kerja di BCA,Klik itok dan temukan lowongan kerajje di BCA
Klik sekarang dan temukan lowongan kerja di BCA,Klik kinni dan temukan lowongan kerajje di BCA
kmu dmana,kmu dmana
Kmu pergi ke pasar ke,Kmu paggi ke pasar
Kmu pergi tak,Kmu paggi tak
kok di cuek aja chat aku,tang di cuek aja' chat aku
kok gak berhenti hujan ini  bisa banjir sungai sambas,tang daan tae ujan ittok  bise banjer sungai
kok gak berhenti-henti hujan ini  bisa banjir sungai sambas,tang daan berhenti-henti ujan ittok  bise banjer sungai
kok gak dibales,tang daan dibales
kok gak semangat makan anak dirmah,tang daan semangat makan anak dirmah
kok ngak berhenti-henti hujan ini  bisa-bisa banjir sungai sambas,tang ngak berhenti-henti ujan ittok  bisa-bisa banjer sungai
lagi dijalan,agek dijalan
lagi tiduran,age' tiduran
lalu,memuaskan
lama tidak kelihatan kemana aja,bangngam keliatan kemane aja'
maaf bukan nya saya berbicara lancang saya hanya tidak ingin abang saya nekat seperti dulu dan harapan dari keluar dan anak² panti hancur,maaf bukan eng aku ngomong lancang hanye an nak abang nekat bagai dolo'k dan arap dari keluar anak² panti parak
maaf yaa,maaf yaa
maafkan aku ya,maafkan aku iye
main yuk,maing dah
Mak kamu ada situ kha,Mak kau ade sinnun kha
makan di rumah nenek,makan di tamping uwan
makan jangan terlalu cepat,usah gilak nojon
Makanya jangan uji kesabaran,Makanya usah uji kesabaran
Makanya jangan uji kesabaran cewek,Makanya usah uji kesabaran daon
malam ini kita berangkat,malam ittok kitte berangkat
malam ini kita berangkat ke malaysia,malam ittok kitte berangkat ke malaysia
Malu malu dia,suppan suppan die
mama mau kemana,umak
mana satu,mane satu
mandilah nanti bau,mandilah kalak bau
mandilah sayang nanti bau,mandilah sayang kalak bau
mane ke orang nitak ada kabar samA sekali,mane ke urang nitak ade kabar same sekali
maok pergi,maok paggi
Masih makan kah,maseh makan ke
Masjid indah di Rusia dengan warna yang berubah tiap 15detiknyaSubhanallah,langgar indah di Rusia dangan warna yang berubah tiap 15detiknyaSubhanallah
mau kemana kamu tuh,kau tuh
mau nanya bole,nak nanyak bole
Mau nanya teman ada yang punya modul pembelajaran rpl k13 kelas 12,nak nanyak kawan ade nang no\'k modul pembelajaran rpl k13 kelas 12
Mau nanya teman ada yg punya modul pembelajaran rpl k13 kelas 12,nak nanyak kawan ade yg no\'k modul pembelajaran rpl k13 kelas 12
mau pergi jalan-jalan ke singkawang,nak janjang singkawang
mau pergi ke singkawang,nak singkawang
mau tanya,nak tanyak
mau titip,nak titip
mau titip tidak,nak titip an
mengapa aku cinta dia,tang aku cinte die
mengawali dan membuka peragaan drama yang akan dipentaskan) assalamu’alaikum wrwb bapak / ibu guru teman-teman dan para hadirin yang kami hormati perkenankanlah kami untuk menampilkan peragaan drama yang berjudul timun mas dengan para pemain,mengawali tebam cakkah peragaan pelam nak dipentaskan) assalamu’alaikum wrwb bapak bekanda' umak kak teman-teman para hadirin kamek hormati perkenankanlah bayyak menampilkan berjudul timun mas kau pemain
menunggu terus,menunggu tolen
minta cw yah,minta' cw i
Minta nombor telefon kmu boleh,minta' nombor telefon kmu boleh
minum yang banyak,minum yang bejibun
motor mobil sepeda tiang pohon lemari pintu jendela,motor oto gerete tiang pohon bopet lawang penjawan
munglaing,munglaing
nama kamu siapa dan orang maba,nameku kau sape dan urang maba
nama kamu siapa dan orang mana,nameku kau sape dan urang mane
Nanti aja ya wahyu aku lagi di rumah ni sama teman ku nak ngajak dia karaoke,kalak aja' iye wahyu aku age' di rumah ni same kawan ku nak ngajak die karaoke
nanti saya tanya,kalak aku tanyak
napa kamu selalu cuek chat aku,napa kau tolen cuek chat aku
naseb baik gk turun lau turun berujan lh cerite,naseb baik gk turun lau berujan lh cerite
nasi dah jadi bubur,nasek dah jadi bubbor
ncallap,ncallap
ndak bisa,ndak bise
ndak di balas,ndak di balas
nesok libur,nesok parrai
ngak bisa lama batre hp tinggal 4,ngak bise lamak batre hp tinggal 4
ngga ada,ngga ade
ngopi terus,ngopi tolen
nonton tv,nonton tepi
oh daan,oh daan
oh endak,oh endak
oh tidak,oh si'an
oh ya udah,oh udah lah
orang baik,urang baik
orang tampan dan baik hati,urang ganteng dan baik
pagi pagi di bus udah bau masakan bikin mual perut aku,pagi di bus udah bau masakan buat mual parrut aku
panas sekali badan aku seperti kebakar,berau sekali badan aku bagai kebakar
pasti cece disekolah main-main ya,pasti cece disekolah singinyan aok
pengen ikut,nak ikut
pening kepala ku,ngallu kapalak ku
Permisi teman2 disini saya ingin menawarkan sistem informasi berbasis web buatan saya sendiri,permisi teman2 disitok aku nak nawarek sistem informasi berbasis web buatan sorang
pindah rumah ke bandung,pindah rumah aku
Puki kamu,pukek kau
pulang ranai dulu sebentar,balik ranai dolo'k caccah
rakiso,rakiso
Rasa nya mau aku lempar kan hp ini,rase eng nak saye campak kan hp itto'
rasanya agak masam,rasenye caddog masam
rasanya agak sedikit asam,rasenye issem sikit masam
rasanya agak sedikit asam,rasenye jandol sikit masam
rasanya masam,rasenye masam
rizal tidak peka,rizal si'an peka
Rosak mungkin,Rosak kalu
rupa nya sebentar lagi udah mau mulai kamu udah siap belum,rupe nye bantar agek udah nak mule kau
rupanya sebentar lagi udah mau mulai kamu sudah siap belum,udah bantar nak mule kau
saat hati sudah nyaman untuk menetap pada saat hati sulit untuk pergi meski sudah di buang beberapa kaliterkadang seseorang menyepelekan hal itu,pas ati udah nyaman kan menetap pade sulit paggi meski di buang beberapa kaliterkadang seseorang menyepelekan hal iye
Sagin dc jd urang sie ke,Sagin dc jd urang sie ke
sampai hatimu,anggan hatimu
sana gak hujan kah,sinun daan ujan ke
saya ada mendengar kabar bahwa dia sudah cerai,aku ade mendengar kabar bahwa die udah cerai
saya ada mendengar kabar bahwa dia sudah cerai,hambe ade mendengar kabar bahwa die udah cerai
Saya ingin bertanya tentang keyword yang juga sering di pakai fi flutter yakni FUTURE,aku nak bertanya tentang keyword yang gayye malar di pakai fi flutter yakni FUTURE
saya ingin kepasar,aku kuawe
saya jak tidak pernah bu,aku jak daan bu
saya lagi di jalan ni,aku agek di jalan ni
saya lepok kamu ngomong seperti itu,aku lepok kau ngomong bagai iye
saya masuk terlambat,aku masok telambat
saya mau belajar bahasa sambas,aku nak belajar bahase
Saya membuat Sistem Informasi Orangtua yang digunakan oleh orangtua untuk melihat aktifitas anaknya disekolah,aku molah Sistem Informasi Orangtua yang digunakan oleh orangtua kan melihat aktifitas anaknya disekolah
saya orang sambas,aku biak
saya tendang kamu ngomong seperti itu,aku pantong kau ngomong bagai iye
saya trima nikahnya,aku trima nikahnya
sebenar nya aku suka sama kamu,sebenar eng aku suke same kau
sebenarnya aku suka sama kamu,innyan aku suke same kau
sebentar lagi udah mau pindah,caccah age\' udah maok pindah
sebentar udah dijalan,caccah udah dijalan
sedap ibuk ni jalan jalan saya jak belum pernah buk,apak ibuk ni jalan aku jak balom suah buk
sekarang kamu lagi apa sayank,kinni kau sayank
sekarang kamu lagi dimana,kau agek dimane
sekarang udah mulai daftar cpns,kinitok udah daptar cpns
Sekor pun ndak ada,Sekor pun ndak ade
selamat hari raya idul fitri 1440 h mohon maaf lahir dan batin,selamat ari raya idul fitri 0 h mohon maaf laher dan batin
selamat malam cantik kamu lagi apa udah makan belum,selamat malam cerammut kau age' ape udah makan balom
selamat malam cantik kamu lagi apa udah makan belum besok kerja tak,selamat malam cerammut kau age' ape udah makan balom isok kerajje tak
semangat aku hari ini kawan,semangat aku ari ittok kawan
semoga lancar,semoga lancar
semoga tidur yang senang,semoga tidok yang suke
sendirian lagi dehh,sendirian age' dehh
sepak bola,sepak bal
seperti melihat kehadiran anaknya nilai uts uas dll dan pengumuman dari sekolah,bagai melihat kehadiran anaknya ponten uts uas dll dan pengumuman dari sekolah
sepertinya dia lapar,sepertinya die lapar
sepertinya kamu lagi marah ya,sepertinya kau agek kanak kite
sepertinya sebentar lagi udah mau mulai kamu sudah siap belum,sepertinya bantar udah nak mule kau
sepertinye disini juga susah untuk beli rumah,sepertinye disitok gayye ngallu untok beli rumah
sepertinye disini susah juga untuk beli rumah,sepertinye disitok ngallu gayye untok beli rumah
Shara sini dlu,Shara sittok dlu
Siap kau,siap kau
siapa itu,sape inun
siapa tahu ketularan,sape belajar ketularan
siapa tahu menyusul tahun depan,sape belajar nyussol maing-maing
siapa tahu menyusul taun depan,sape belajar nyussol taun maing-maing
siapa tahu nyusul tahun depan,sape belajar nyusul maing-maing
sing taulek,sing taulek
Sini dulu,sittok dolo'k
Sistem ini dibangun menggunakan framework Codeigniter dengan library bootstrap dan jquery   ajax,Sistem ittok dibangun pakai framework Codeigniter dangan library bootstrap dan jquery  ajax
skarang kmu lgi apa yank,skarang kmu lgi ape yank
smalam ini kita berangkat,smalam ittok kitte berangkat
soalnya,soalnya
solihin makan ayam,solihin bogoh nak
solihin makan ayam bakar,solihin bogoh nak lagum
sopo,sopo
suami kamu dah tau belum  afen masuk penjara,laki direk dah tau ballom  afen masok penjara
suamiku,suamiku
sudah lama cuma kamu yang baru tau,udah lamak cuman kau yang barok tau
sudah lama di kebun anjingnya,udah lamak di kabbon anjingnya
sudah makan belum sayang tu,udah makan balom sayang tu
sudah tampan baik hati pula,udah ganteng baik pula
tadak tau,tadak tau
tadi saya ada melihat kamu dengan dia,tadek aku ade mantau dirrek dangan die
tadi saya ada melihat kamu dengan dia,tadek aku ade melihat dirre\' dangan die
tadi saya ada melihat kamu dengan dia,tadek aku ade melihat kau dangan die
tak ada balas kabar ni2 hari ditunggu,tak ade balas kabar ni2 ari ditunggu
tak dapat mengerti,tak dapat ngerati
tak kenal aku,tak kannal aku
tanah batu kayu pisau sabun lemah keras lukisan patung kain bertelur melahirkan tebu buah biji batang,tanah botu kayu lading sabun cuwai karrok lukisan patung kaing bertelur beranak tebu igge' butte' batang
tang ade biak kalimantan tok,tang ade biak kalimantan tok
tau dari mana,tau
tau yah aku,tau i aku
tek tek bodo bale,tek bodo bale
tek tek bodo bLe,tek bodo bLe
tektek bodo bale,tektek bodo bale
Temanan yuk,Temanan dah
Tertarik berkarier di Forex Jangan investasi dulu Awali dengan Trade 100 Bonus gratis dari FBS Terima $100 gratis dari FBS di akun Anda Ubah menjadi profit nyata dengan trading Anda Belajar berlatih dan tumbuh bersama broker tepercaya Dapatkan bonusnya se,Tertarik berkarier di Forex usah investasi dolo'k Awali dangan Trade 100 Bonus gratis dari FBS nerima' $100 akun dirre' Ubah menjadi profit nyata trading belajar berlatih dan tumboh seratte broker tepercaya Dapatkan bonusnya itok
terus apa mau kakak biar enak di abang dan enak di kaka,tolen ape nak kakak biar nyaman di abang dan kaka
Tetap semangat ananda Farel jangan putus sekolah kejarlah mimpi-mimpimu dan gapai cita-citamu tetap menjadi farel yang kita semua tahu orangnya baik pintar cekatan dan mandiri wish you all the best Muhammad Farel Bin Robert,Tetap semangat ananda Farel usah paggat sekolah kejarlah mimpi-mimpimu dan gapai cita-citamu tetap menjadi farel yang kitte sume'eng tahu orangnya baik pintar pintar mandiri wish you all the best Muhammad Bin Robert
thari raya,thari raya
the poin,the poin
tidak ada dapat ikan wahyu seekor pun tak ada,sian dapat ikan wahyu seekor pun tak ade
tidak ada rubah rubah,sian rubah
Tidak boleh masuk,an boleh masok
Tidak di balas,an di balas
tidak jadi pergi,nogok kaba' begayau
tidak mandi,an mandek
tidak pergi kemana-mana,nogo' begayau nogo'k
tidak tau kan,an tau kan
tidak tau km,an tau km
Tolong jaga telpon sya boleh,tulong jage telpon sya boleh
Tuak ada lagi kah,Tuak ade agek ke
uang nya banyak sekali,duit eng bejibun sekali
udah berapa anak,udah berape anak
udah berapa anak sekarang,udah berape anak kinni
udah insaf yah,udah insaf i
udah lama cuma kau yang baru tau,udah lamak cuman kau yang barok tau
udah malam pulang,udah malam balik
udah mulai malas,udah mule malas
udahlah nada ngomong tu degil,udahlah nada ngomong tu degil
umi mau tidur ya,umi nak tidok iye
wahyu nanti kamu antar aku di pelabuhan ya aku nak ke pinang,wahyu kalak kau antar aku di pelabohan iye nak ke pinang
wahyu nanti kamu antar aku di pelabuhan ya ku nak pergi terempak duluk,wahyu kalak kau antar aku di pelabohan iye ku nak paggi terempak duluk
walaupun hujan tetap mandibiar gak kayak kambing,walaupun ujan tetap mandibiar daan kayak kambing
warung makan,warung makan
why,why
ya semoga sukses,iye semoga sukses
yah sudah hilang,i udah ilang
yang-,yang-
"Aa ya nonton ceramah setangah"" jdi ndak paham ee Beli lah paket agak 2GB gre tiba selesai ny","Aa iye nonton ceramah setangah"" jdi daan paham ee Beli lah paket agak 2GB gre sampai lakak nonton ny"
ajak,ajak
aku mencintai mu,aku mencintai mu
aku ndak begitu tandenye ie,aku daan geye tandenye ie
aog ber pongah,aog be pongah
aokpalak sigeknye dalam kolormudaan bemate namun pandai cari lubang,aokpalak sigeknye dalam kolormudaan bemate tapi pandai carek lubang
apa yah gerombolan wahabi wakurang daerah mne rt ny,Ape ye gerombolan wahabi ye wakurang daerah mne rt ny
ba,ba
betul memuaskan,batol lalu
biar menang selalu,biar manang tolen
biasa nya pkai nasi lem,Biase nye pkai nasek lem nye
bisa k kire2 kalian nurutek nya keluarga,Bise k kire2 kitak nurutek eng insanak
bocah kini ndak tau dirinya y,bocah kini daan tau die y
bodonyan,bodonyan
buah ingkalok di dalam talamtalam berusek buah nage biar rasa ngelok pinggang Asal-usul untuk tidur kena jagehaaaaa,Buah ingkalok di dalam talamtalam berusek buah nage biar rase ngelok pinggang asal kan tidok kanak jagehaaaaa
budak budak kau,biak kau
Busak busok ke sedang,Busak busok ke agek
byak kau tok,byak kau tok
caddog karring,agak kering
cowok api,batang api api
cowok pe api,batang pe api
dia selingkuh sama orang,dia selingkuh sama orang
duit nya banyak lalu,duit nye banyak lalu
duit nya timunggor,duit nye timunggor
Fitur sebagai berikut,Fitur sebagai berikut
gaye,gaye
"genit lalu kata hubung, penekanan sebuah pernyataan, pertanyaan",lanjit lalu be
gombal selalu,gombal tolen
Gucuk rakat kalau bahasa kami,Gucuk rakat Mun bahasa kamek
gucuk tangkup sebutan kami semasa kacik e,gucuk tangkup base kamek gek kacik e
Haaa mantap bro,Haaa mantap wak
Haaaaa supaya ndak terlungkup Tpi terlentang selalu,Haaaaa supaye daan tetungkup Tpi telantang tolen
hantu nenek ungkok,antu nek ungkok
hujan behSian ndak tidak surot2 air NyeNdak natal,ujan behSian Ndak an surot2 Aek NyeNdak an natal
japang,japang
kalau d lihat gerombolan wahabi angap ny syirik aja kalau simpan koleksi foto mcm anok,Mun d lihat gerombolan wahabi d angap ny syirik aja kalau simpan koleksi foto mcm itu
kamdaang ketika,kamdaang pas
kamu lekongku marah,ye lekongku marah
kappa aku,kappa aku
kau cantik lalu,kau cantek lalu
kau di mana,kau di mane
Kebnyakan manusia sombong,Kebnyakan manusie lawa
kena bakalek fto ini cocok nx merantau,Kanak bakalek fto itok pas nx merantau
keop,keop
kp,kp
ku memukul pelan bagian pantat bayi untuk menidurkan bayi,Ku Ipok
kue apa name ny tok keluarga kalau kalian tau,Kueh ape name ny tok insanak mun kitak tau
kulat,kulat
lokap,lokap
mados,Mados
mau besok,nak kemane
me ndak,me daan
melap,melap
Melapis,Melapis
miabuy,miabuy
mSensasi ketike peluru menembus daging dibadanmenembus tulangmenembus tengkorak dan membuat otak kita berceceran,mSensasi ketike peluru menembus daging dibadanmenembus tulangmenembus tengkorak dan membuat otak kita berceceran
mungkin berminat ingin menguji kelihaian didunie nyate,mungkin berminat nak menguji kelihaian didunie nyate
ngacok lu,ngacok lu
numpang iklan keluarga ii,Numpang iklan insanak ii
orang babang yah ba,Urang babang ye be
orang ndak boleh,urang daan boleh
pa\'akal,pa\'akal
pa\'akal ramai,pa\'akal ramai
pemoleh saja mancing kolam plihara tidak lele jumbo,pemoleh jak ngael kolam plihara an lele jumbo
puki maang,puki maang
puqi maang,puqi maang
q ndak pernah ii tidak kalah,q daan suah ii an suah kalah
rasa ingin juga ingin ngupah nya nandor,Rase carat juak nak ngupah nye nandor
Sagin dc jd orang situ ke,Sagin dc jd urang sie ke
saya,saya
saya ingin pergi kepasar,aku nak paggi kepasar
sebentar,sebentar
