input_text,target_text
<sambas> balom ade duit,<id> belum ada duit
<id> belum ada duit,<sambas> sian duit
<sambas> sian duit,<id> belum ada duit
<id> boleh along ikutan,<sambas> boleh along ikutan
<sambas> boleh along ikutan,<id> boleh along ikutan
<id> boleh lah,<sambas> boleh lah
<sambas> boleh lah,<id> boleh lah
<id> cowok pacaran,<sambas> cowok pacaran
<sambas> cowok pacaran,<id> cowok pacaran
<id> cuaca panas begini minum es kopi enak kali,<sambas> cuace berau getok minum es kopi nyaman kalu
<sambas> cuace berau getok minum es kopi nyaman kalu,<id> cuaca panas begini minum es kopi enak kali
<id> dari pada tidak dibalaskan,<sambas> dari pade daan dibalaskan
<sambas> dari pade daan dibalaskan,<id> dari pada tidak dibalaskan
<id> di cari,<sambas> di care'
<sambas> di care',<id> di cari
<id> di mana saja,<sambas> dimane ajak
<sambas> dimane ajak,<id> di mana saja
<id> dia pingin,<sambas> die maok
<sambas> die maok,<id> dia pingin
<id> Gajah,<sambas> Gajah
<sambas> Gajah,<id> Gajah
<id> gak kenapa,<sambas> daan ngape
<sambas> daan ngape,<id> gak kenapa
<id> gak kenapa,<sambas> daan ngape-ngape
<sambas> daan ngape-ngape,<id> gak kenapa
<id> gak mau,<sambas> indak
<sambas> indak,<id> gak mau
<id> lagi apa,<sambas> ge ngape
<sambas> ge ngape,<id> lagi apa
<id> gimana kabarmu,<sambas> gimane kabarmu
<sambas> gimane kabarmu,<id> gimana kabarmu
<id> hai cantik,<sambas> hai cantek
<sambas> hai cantek,<id> hai cantik
<id> hati ini hanya untuk kamu,<sambas> hati ittok hanye untokkan kau
<sambas> hati ittok hanye untokkan kau,<id> hati ini hanya untuk kamu
<id> hatiku hanya untukmu,<sambas> hatiku hanye untukmu
<sambas> hatiku hanye untukmu,<id> hatiku hanya untukmu
<id> hay cantik,<sambas> hay cantek
<sambas> hay cantek,<id> hay cantik
<id> hujan rintik,<sambas> ujan rintik
<sambas> ujan rintik,<id> hujan rintik
<id> ingin makan malam,<sambas> nak makan malam
<sambas> nak makan malam,<id> ingin makan malam
<id> ini game apa,<sambas> ittok game ape
<sambas> ittok game ape,<id> ini game apa
<id> isco belum bisa tidur,<sambas> isco balom bise tidok
<sambas> isco balom bise tidok,<id> isco belum bisa tidur
<id> iya nanti di ajari,<sambas> aok kalak di ajarek
<sambas> aok kalak di ajarek,<id> iya nanti di ajari
<id> jangan macam-macam aku masih sayang,<sambas> usah macam-macam aku maseh sayang
<sambas> usah macam-macam aku maseh sayang,<id> jangan macam-macam aku masih sayang
<id> jangan terlalu main game,<sambas> usah maing game tolen
<sambas> usah maing game tolen,<id> jangan terlalu main game
<id> jujur aja,<sambas> jujor aja'
<sambas> jujor aja',<id> jujur aja
<id> jujur sebenernya long gak mau jauh sama usu,<sambas> jujor sebenernya long daan nak jauh same usu
<sambas> jujor sebenernya long daan nak jauh same usu,<id> jujur sebenernya long gak mau jauh sama usu
<id> kamu datang ke sini kapan,<sambas> kau bile datang ke sitok
<sambas> kau bile datang ke sitok,<id> kamu datang ke sini kapan
<id> kamu juga sama,<sambas> kau same juak
<sambas> kau same juak,<id> kamu juga sama
<id> kamu ke sini,<sambas> kau kesitok
<sambas> kau kesitok,<id> kamu ke sini
<id> kamu kemana tadi,<sambas> kau kemane tadek
<sambas> kau kemane tadek,<id> kamu kemana tadi
<id> kamu kemana tadi gak datang ke tempatku,<sambas> kau kemane tadek daan datang ke tampatku
<sambas> kau kemane tadek daan datang ke tampatku,<id> kamu kemana tadi gak datang ke tempatku
<id> kamu lah yang paling betul,<sambas> kau lah yang paling battol
<sambas> kau lah yang paling battol,<id> kamu lah yang paling betul
<id> kamu masih sekolah kah,<sambas> kau maseh sekolah ke
<sambas> kau maseh sekolah ke,<id> kamu masih sekolah kah
<id> kamu pasti kangen,<sambas> kau pasti salok
<sambas> kau pasti salok,<id> kamu pasti kangen
<id> kamu sini,<sambas> kau sitok
<sambas> kau sitok,<id> kamu sini
<id> kamu tidak ikut,<sambas> kau daan ikut ke
<sambas> kau daan ikut ke,<id> kamu tidak ikut
<id> kamu tidak main,<sambas> kau daan maing ke
<sambas> kau daan maing ke,<id> kamu tidak main
<id> kamunya ajah yang baru kelihatan,<sambas> kau ajak yang barok keliatan
<sambas> kau ajak yang barok keliatan,<id> kamunya ajah yang baru kelihatan
<id> kangen dia pingin ketemu dia,<sambas> salok die nak bejumpe
<sambas> salok die nak bejumpe,<id> kangen dia pingin ketemu dia
<id> pingin,<sambas> nak
<sambas> nak,<id> pingin
<id> pengen,<sambas> nak
<sambas> nak,<id> pengen
<id> ingin,<sambas> nak
<sambas> nak,<id> ingin
<id> kapan kamu pulang,<sambas> bile kau balik
<sambas> bile kau balik,<id> kapan kamu pulang
<id> Kapan kapan aja bg ke sana,<sambas> bile bile aja' bg kesinun
<sambas> bile bile aja' bg kesinun,<id> Kapan kapan aja bg ke sana
<id> kapan kita berdua,<sambas> bile kitte beduak
<sambas> bile kitte beduak,<id> kapan kita berdua
<id> kenapa di matikan,<sambas> ngape tang di matikan
<sambas> ngape tang di matikan,<id> kenapa di matikan
<id> kenapa kau melihat aku terus,<sambas> ngape kau meliat aku tolen
<sambas> ngape kau meliat aku tolen,<id> kenapa kau melihat aku terus
<id> kenapa lama,<sambas> ngape tang lamak
<sambas> ngape tang lamak,<id> kenapa lama
<id> kenapa marah,<sambas> ngape tang marah
<sambas> ngape tang marah,<id> kenapa marah
<id> kesabaran aku lagi di uji,<sambas> kesabaranku age' di uji
<sambas> kesabaranku age' di uji,<id> kesabaran aku lagi di uji
<id> ketemu dia,<sambas> bejumpe die
<sambas> bejumpe die,<id> ketemu dia
<id> kok baru keliatan yah,<sambas> tang barok keliatan i
<sambas> tang barok keliatan i,<id> kok baru keliatan yah
<id> lagi apa sih,<sambas> age ngape we ye
<sambas> age ngape we ye,<id> lagi apa sih
<id> lama juga yah,<sambas> lamak juak i
<sambas> lamak juak i,<id> lama juga yah
<id> makan bersama,<sambas> makan besame-same
<sambas> makan besame-same,<id> makan bersama
<id> makan hati,<sambas> makan ati
<sambas> makan ati,<id> makan hati
<id> makanya jangan begadang,<sambas> makaenye usah begadang
<sambas> makaenye usah begadang,<id> makanya jangan begadang
<id> malam ini,<sambas> malam ittok
<sambas> malam ittok,<id> malam ini
<id> malam ni,<sambas> malam itok
<sambas> malam itok,<id> malam ni
<id> mana ada aku pacaran,<sambas> mane ade aku pacaran
<sambas> mane ade aku pacaran,<id> mana ada aku pacaran
<id> mana aku tau dong,<sambas> mane aku tau
<sambas> mane aku tau,<id> mana aku tau dong
<id> Mana bisa nanti rusak hp ku,<sambas> mane bise kalak rusak hp ku
<sambas> mane bise kalak rusak hp ku,<id> Mana bisa nanti rusak hp ku
<id> masa yang bener,<sambas> masa yang bener
<sambas> masa yang bener,<id> masa yang bener
<id> mau bangunin tapi takut ganggu,<sambas> nak bangunkan tapi takut ngacau
<sambas> nak bangunkan tapi takut ngacau,<id> mau bangunin tapi takut ganggu
<id> mau kontol,<sambas> nak paler
<sambas> nak paler,<id> mau kontol
<id> mau nanya boleh,<sambas> nak nanyak boleh ke
<sambas> nak nanyak boleh ke,<id> mau nanya boleh
<id> mengapa kau pergi,<sambas> ngape kau paggi
<sambas> ngape kau paggi,<id> mengapa kau pergi
<id> menunggu waktunya aja  nanti tiba juga,<sambas> tunggu aja' kalak ade waktunye
<sambas> tunggu aja' kalak ade waktunye,<id> menunggu waktunya aja  nanti tiba juga
<id> menunggu waktunya aja  nanti tiba juga,<sambas> tunggu ajak kalak ade waktunye
<sambas> tunggu ajak kalak ade waktunye,<id> menunggu waktunya aja  nanti tiba juga
<id> nanti aku ketiduran,<sambas> kalak aku ketido'an
<sambas> kalak aku ketido'an,<id> nanti aku ketiduran
<id> ngomel terus dari tadi,<sambas> ngerepek tolen dari tadek
<sambas> ngerepek tolen dari tadek,<id> ngomel terus dari tadi
<id> orang sambas ngomong telur kura-kura gak bisa rebus,<sambas> urang sambas yang ngomong tallo' kura-kura daan bise dirabbus
<sambas> urang sambas yang ngomong tallo' kura-kura daan bise dirabbus,<id> orang sambas ngomong telur kura-kura gak bisa rebus
<id> orang udah gak suka lagi susah mau bilang,<sambas> urang udah daan suke age' payah nak padahkan
<sambas> urang udah daan suke age' payah nak padahkan,<id> orang udah gak suka lagi susah mau bilang
<id> pada lagi ngapain sekarang,<sambas> agek ngape saat itok
<sambas> agek ngape saat itok,<id> pada lagi ngapain sekarang
<id> panas banget,<sambas> berau inyan
<sambas> berau inyan,<id> panas banget
<id> pening tidak chat kamu,<sambas> panning kepalak daan chat kau
<sambas> panning kepalak daan chat kau,<id> pening tidak chat kamu
<id> pergi belanja,<sambas> paggi belanje
<sambas> paggi belanje,<id> pergi belanja
<id> pergi dinas,<sambas> paggi dinas
<sambas> paggi dinas,<id> pergi dinas
<id> Pergi WiFi ndak wahyu,<sambas> paggi WiFi ke daan wahyu
<sambas> paggi WiFi ke daan wahyu,<id> Pergi WiFi ndak wahyu
<id> pindah sekolah,<sambas> pindah sekolah
<sambas> pindah sekolah,<id> pindah sekolah
<id> santai disini dulu,<sambas> santai disitok dolo'
<sambas> santai disitok dolo',<id> santai disini dulu
<id> saya ingin menciummu,<sambas> aku nak nyium kau
<sambas> aku nak nyium kau,<id> saya ingin menciummu
<id> saya ingin tidur,<sambas> aku nak tidok
<sambas> aku nak tidok,<id> saya ingin tidur
<id> saya mau mandi,<sambas> aku nak mandek
<sambas> aku nak mandek,<id> saya mau mandi
<id> saya rindu calon istriku,<sambas> aku salo' calon biniku
<sambas> aku salo' calon biniku,<id> saya rindu calon istriku
<id> saya rindu kampung halaman,<sambas> aku salo' kampong halaman
<sambas> aku salo' kampong halaman,<id> saya rindu kampung halaman
<id> sebelum berangkat dinas fitnes dulu,<sambas> sebalom berangkat dinas fitnes dolok
<sambas> sebalom berangkat dinas fitnes dolok,<id> sebelum berangkat dinas fitnes dulu
<id> sebelum pergi dinas kita fitnes,<sambas> sebalom paggi dinas kitte fitnes
<sambas> sebalom paggi dinas kitte fitnes,<id> sebelum pergi dinas kita fitnes
<id> sebelum pergi dinas kita fitnes dulu,<sambas> sebalom paggi dinas kitte fitnes dolo'k
<sambas> sebalom paggi dinas kitte fitnes dolo'k,<id> sebelum pergi dinas kita fitnes dulu
<id> seperti kebakar,<sambas> macam nak tebakar
<sambas> macam nak tebakar,<id> seperti kebakar
<id> silahkan makan,<sambas> silekan makan
<sambas> silekan makan,<id> silahkan makan
<id> silahkan minum,<sambas> silekan minum
<sambas> silekan minum,<id> silahkan minum
<id> sini aku mau bicara,<sambas> sittok aku nak ngomong
<sambas> sittok aku nak ngomong,<id> sini aku mau bicara
<id> sini aku mau ngomong,<sambas> sittok aku nak ngomong
<sambas> sittok aku nak ngomong,<id> sini aku mau ngomong
<id> sini duduk di samping aku,<sambas> sittok dudok di sampingku
<sambas> sittok dudok di sampingku,<id> sini duduk di samping aku
<id> sudah pada siap,<sambas> udah siap
<sambas> udah siap,<id> sudah pada siap
<id> tempat yang bagus,<sambas> tampat bagus
<sambas> tampat bagus,<id> tempat yang bagus
<id> tidur mulu,<sambas> tidok tolen
<sambas> tidok tolen,<id> tidur mulu
<id> mulu,<sambas> tolen
<sambas> tolen,<id> mulu
<id> untuk besok,<sambas> untokkan isok
<sambas> untokkan isok,<id> untuk besok
<id> ternyata masih pandai,<sambas> rupenye maseh pandai
<sambas> rupenye maseh pandai,<id> ternyata masih pandai
<id> ya belajar lah,<sambas> belajar lah
<sambas> belajar lah,<id> ya belajar lah
<id> yang aslinya lah,<sambas> yang aslinye lah
<sambas> yang aslinye lah,<id> yang aslinya lah
<id> yang bener,<sambas> inyan-inyan we
<sambas> inyan-inyan we,<id> yang bener
<id> ye kenapa,<sambas> ye ngape
<sambas> ye ngape,<id> ye kenapa
<id> benar lah tidak apa,<sambas> Inyan lah daan ape
<sambas> Inyan lah daan ape,<id> benar lah tidak apa
<id> budak budak kau,<sambas> biak biak kitak
<sambas> biak biak kitak,<id> budak budak kau
<id> duit nya banyak benar,<sambas> duit nye banyak inyan
<sambas> duit nye banyak inyan,<id> duit nya banyak benar
<id> duit nya banyak hingga bertumpuk-tumpuk,<sambas> duit nye belonggok
<sambas> duit nye belonggok,<id> duit nya banyak hingga bertumpuk-tumpuk
<id> iya nanak makan bah,<sambas> aok nanak makan we
<sambas> aok nanak makan we,<id> iya nanak makan bah
<id> yang mana,<sambas> yang mane
<sambas> yang mane,<id> yang mana
<id> hantu,<sambas> butte
<sambas> butte,<id> hantu
<id> hantu,<sambas> antu
<sambas> antu,<id> hantu
<id> ganjen,<sambas> miang
<sambas> miang,<id> ganjen
<id> ganjen,<sambas> birrah
<sambas> birrah,<id> ganjen
<id> setan,<sambas> setan
<sambas> setan,<id> setan
<id> berteriak,<sambas> ngeraok
<sambas> ngeraok,<id> berteriak
<id> setelah itu,<sambas> lakak iye
<sambas> lakak iye,<id> setelah itu
<id> lelah,<sambas> kappak
<sambas> kappak,<id> lelah
<id> siapa itu,<sambas> sape ye
<sambas> sape ye,<id> siapa itu
<id> jitak,<sambas> tempeleng
<sambas> tempeleng,<id> jitak
<id> sendal jepit,<sambas> slipar
<sambas> slipar,<id> sendal jepit
<id> sendal jepit,<sambas> sandal
<sambas> sandal,<id> sendal jepit
<id> anda,<sambas> dirre'
<sambas> dirre',<id> anda
<id> melihat,<sambas> meliat
<sambas> meliat,<id> melihat
<id> kikuk,<sambas> gamam
<sambas> gamam,<id> kikuk
<id> menjaring ikan,<sambas> nyale
<sambas> nyale,<id> menjaring ikan
<id> miring,<sambas> rencong
<sambas> rencong,<id> miring
<id> buk,<sambas> buk
<sambas> buk,<id> buk
<id> nginap,<sambas> bemalam
<sambas> bemalam,<id> nginap
<id> keluarga,<sambas> insanak
<sambas> insanak,<id> keluarga
<id> timun,<sambas> intimun
<sambas> intimun,<id> timun
<id> sampai hatimu,<sambas> sampai atimu
<sambas> sampai atimu,<id> sampai hatimu
<id> sampai hati,<sambas> saggalnye
<sambas> saggalnye,<id> sampai hati
<id> berisik,<sambas> ingar
<sambas> ingar,<id> berisik
<id> kedau,<sambas> kaddau
<sambas> kaddau,<id> kedau
<id> eram,<sambas> arram
<sambas> arram,<id> eram
<id> aku ya,<sambas> aku i
<sambas> aku i,<id> aku ya
<id> okay,<sambas> oke
<sambas> oke,<id> okay
<id> sobek,<sambas> rambau
<sambas> rambau,<id> sobek
<id> sobek,<sambas> koyak
<sambas> koyak,<id> sobek
<id> cubit,<sambas> kuttis
<sambas> kuttis,<id> cubit
<id> tidak mengerti,<sambas> daan ngerati
<sambas> daan ngerati,<id> tidak mengerti
<id> tetapi,<sambas> tapi
<sambas> tapi,<id> tetapi
<id> sebab,<sambas> sabbab
<sambas> sabbab,<id> sebab
<id> remuk,<sambas> rammok
<sambas> rammok,<id> remuk
<id> mesum,<sambas> birah
<sambas> birah,<id> mesum
<id> nya,<sambas> eng
<sambas> eng,<id> nya
<id> kemarin,<sambas> semari
<sambas> semari,<id> kemarin
<id> bertaburan,<sambas> betaboran
<sambas> betaboran,<id> bertaburan
<id> ngeri,<sambas> rabban
<sambas> rabban,<id> ngeri
<id> pantas,<sambas> pantas
<sambas> pantas,<id> pantas
<id> sadar,<sambas> meladde
<sambas> meladde,<id> sadar
<id> almarhum,<sambas> jannat
<sambas> jannat,<id> almarhum
<id> almarhumah,<sambas> jannat
<sambas> jannat,<id> almarhumah
<id> teras,<sambas> serambek
<sambas> serambek,<id> teras
<id> kamu,<sambas> direk
<sambas> direk,<id> kamu
<id> situ,<sambas> sie
<sambas> sie,<id> situ
<id> serupa,<sambas> macam nak
<sambas> macam nak,<id> serupa
<id> ngintip,<sambas> nillik
<sambas> nillik,<id> ngintip
<id> pantesan,<sambas> padan
<sambas> padan,<id> pantesan
<id> malu sendiri,<sambas> kassang
<sambas> kassang,<id> malu sendiri
<id> geser,<sambas> enser
<sambas> enser,<id> geser
<id> celana dalam,<sambas> seluar
<sambas> seluar,<id> celana dalam
<id> tergesa-gesa,<sambas> gopoh
<sambas> gopoh,<id> tergesa-gesa
<id> hama pohon kelapa,<sambas> imbatar
<sambas> imbatar,<id> hama pohon kelapa
<id> kumbang,<sambas> imbatar
<sambas> imbatar,<id> kumbang
<id> kamu tidak,<sambas> kau daan
<sambas> kau daan,<id> kamu tidak
<id> tidak terasa,<sambas> daan keladaan
<sambas> daan keladaan,<id> tidak terasa
<id> tidak terasa,<sambas> daan terase
<sambas> daan terase,<id> tidak terasa
<id> berkat,<sambas> berkat
<sambas> berkat,<id> berkat
<id> berkat,<sambas> kemaren
<sambas> kemaren,<id> berkat
<id> setelah itu,<sambas> lakka' iye
<sambas> lakka' iye,<id> setelah itu
<id> sekung,<sambas> cakkong
<sambas> cakkong,<id> sekung
<id> itu saja,<sambas> iye ajak
<sambas> iye ajak,<id> itu saja
<id> amboi,<sambas> doh adoh
<sambas> doh adoh,<id> amboi
<id> potong,<sambas> karrat
<sambas> karrat,<id> potong
<id> bohong,<sambas> bulla'
<sambas> bulla',<id> bohong
<id> merekah,<sambas> merakkah
<sambas> merakkah,<id> merekah
<id> merekah,<sambas> meladdor
<sambas> meladdor,<id> merekah
<id> diberi alas,<sambas> ganjal
<sambas> ganjal,<id> diberi alas
<id> mengomel,<sambas> ngerepek
<sambas> ngerepek,<id> mengomel
<id> kenal,<sambas> kannal
<sambas> kannal,<id> kenal
<id> menyetir,<sambas> nyuper
<sambas> nyuper,<id> menyetir
<id> awal,<sambas> pungkak
<sambas> pungkak,<id> awal
<id> nangka,<sambas> nagka'
<sambas> nagka',<id> nangka
<id> mengada-ngada,<sambas> meramput
<sambas> meramput,<id> mengada-ngada
<id> labu air,<sambas> labu aek
<sambas> labu aek,<id> labu air
<id> lambat,<sambas> alon
<sambas> alon,<id> lambat
<id> lambat,<sambas> palan
<sambas> palan,<id> lambat
<id> lambat,<sambas> ulut
<sambas> ulut,<id> lambat
<id> memiliki,<sambas> ade
<sambas> ade,<id> memiliki
<id> berasal,<sambas> asal
<sambas> asal,<id> berasal
<id> memaki,<sambas> incarut
<sambas> incarut,<id> memaki
<id> embun,<sambas> ambun
<sambas> ambun,<id> embun
<id> biarkan,<sambas> alekan
<sambas> alekan,<id> biarkan
<id> bertengger,<sambas> nenggek
<sambas> nenggek,<id> bertengger
<id> lurus,<sambas> kajjor
<sambas> kajjor,<id> lurus
<id> bagaimana,<sambas> gaikemane
<sambas> gaikemane,<id> bagaimana
<id> bagaimana,<sambas> gaimane
<sambas> gaimane,<id> bagaimana
<id> bagaimana,<sambas> gimane
<sambas> gimane,<id> bagaimana
<id> berlari,<sambas> becaccak
<sambas> becaccak,<id> berlari
<id> kesurupan,<sambas> kesarongan
<sambas> kesarongan,<id> kesurupan
<id> hey,<sambas> hai
<sambas> hai,<id> hey
<id> mandi,<sambas> mandek
<sambas> mandek,<id> mandi
<id> tawari,<sambas> suguhe'
<sambas> suguhe',<id> tawari
<id> tawari,<sambas> tawarkan'
<sambas> tawarkan',<id> tawari
<id> caping,<sambas> capel
<sambas> capel,<id> caping
<id> caping,<sambas> tanggoy
<sambas> tanggoy,<id> caping
<id> nyetir,<sambas> nyuper
<sambas> nyuper,<id> nyetir
<id> kesal,<sambas> ibboh
<sambas> ibboh,<id> kesal
<id> hey,<sambas> hei
<sambas> hei,<id> hey
<id> pingsan,<sambas> cuttam
<sambas> cuttam,<id> pingsan
<id> untuk,<sambas> kan
<sambas> kan,<id> untuk
<id> untuk,<sambas> untok
<sambas> untok,<id> untuk
<id> hilir,<sambas> ille'
<sambas> ille',<id> hilir
<id> goyang,<sambas> joget
<sambas> joget,<id> goyang
<id> memaki,<sambas> incarrut
<sambas> incarrut,<id> memaki
<id> berhias,<sambas> bemesen
<sambas> bemesen,<id> berhias
<id> bermakeup,<sambas> bemesen
<sambas> bemesen,<id> bermakeup
<id> mual,<sambas> mue'
<sambas> mue',<id> mual
<id> muntah,<sambas> mue'
<sambas> mue',<id> muntah
<id> cuci muka,<sambas> impungas
<sambas> impungas,<id> cuci muka
<id> tidak ada,<sambas> si'an
<sambas> si'an,<id> tidak ada
<id> tidak ada,<sambas> sian
<sambas> sian,<id> tidak ada
<id> lewat tanpa permisi,<sambas> meloros
<sambas> meloros,<id> lewat tanpa permisi
<id> suami,<sambas> laki
<sambas> laki,<id> suami
<id> tolong,<sambas> tullong
<sambas> tullong,<id> tolong
<id> ambil jalan pintas,<sambas> bantas
<sambas> bantas,<id> ambil jalan pintas
<id> ambil jalan pintas,<sambas> mantas
<sambas> mantas,<id> ambil jalan pintas
<id> nyenyak,<sambas> nyannyak
<sambas> nyannyak,<id> nyenyak
<id> beras putih ditumbuk,<sambas> kasai
<sambas> kasai,<id> beras putih ditumbuk
<id> bertebaran,<sambas> betaboran
<sambas> betaboran,<id> bertebaran
<id> berjualan,<sambas> bejualan
<sambas> bejualan,<id> berjualan
<id> enau,<sambas> belullok
<sambas> belullok,<id> enau
<id> hutan rimba,<sambas> udas
<sambas> udas,<id> hutan rimba
<id> menyanjung,<sambas> ambol
<sambas> ambol,<id> menyanjung
<id> garuk,<sambas> nggarrok
<sambas> nggarrok,<id> garuk
<id> menangkap ikan dengan tangan kosong,<sambas> ngammal
<sambas> ngammal,<id> menangkap ikan dengan tangan kosong
<id> bahwa,<sambas> bahwe
<sambas> bahwe,<id> bahwa
<id> menukar,<sambas> nukkar
